extracted genus,extracted species,extracted/literature/genus,actual species,actual genus,genbank version number,voucher,sequence length
Hippeastrum,correiense,genus,Hippeastrum,stylosum,AB017287.1,,1136
Hippeastrum,cybister,genus,Hippeastrum,puniceum,KC704508.1,,854
Lycoris,radiata,extracted,Lycoris,radiata,MH659042.1,"Ge130871",875
Narcissus,abscissus,genus,Narcissus,tazetta,AB017291.1,,1136
Narcissus,assoanus,extracted,Narcissus,assoanus,KC608020.1,"LISI-478.1/2012",894
Narcissus,asturiensis,extracted,Narcissus,asturiensis,MN070181.1,,833
Narcissus,broussonetii,extracted,Narcissus,broussonetii,MN070144.1,,833
Narcissus,bujei,extracted,Narcissus,hispanicus,MN070157.1,,833
Narcissus,calcicola,literature,Narcissus,scaberulus,MN070175.1,,833
Narcissus,cantabricus,extracted,Narcissus,cantabricus,MN070178.1,,833
Narcissus,cavanillesii,extracted,Narcissus,cavanillesii,MN070147.1,,833
Narcissus,cuatrecasasii,extracted,Narcissus,cuatrecasasii,KC608018.1,"LISI-457.1/2012",894
Narcissus,elegans,extracted,Narcissus,elegans,KU127381.1,"S.C.H. Barrett 1434, TRT",882
Narcissus,gaditanus,extracted,Narcissus,gaditanus,KC608017.1,"LISI-411.1/2012",894
Narcissus,hedraeanthus,extracted,Narcissus,hedraeanthus,MN070159.1,,833
Narcissus,jonquilla,extracted,Narcissus,jonquilla,KX783721.1,"Hosam00338",811
Narcissus,longispathus,literature,Narcissus,pseudonarcissus,KX783722.1,"Hosam00336",811
Narcissus,lusitanicus,literature,Narcissus,triandrus,KC608016.1,"LISI-426.2/2012",894
Narcissus,obesus,extracted,Narcissus,obesus,MN070171.1,,833
Narcissus,papyraceus,extracted,Narcissus,papyraceus,HM850508.1,"BM 2008/419",831
Narcissus,romieuxii,extracted,Narcissus,romieuxii,MN070161.1,,833
Narcissus,rupicola,extracted,Narcissus,rupicola,MN070174.1,,833
Narcissus,viridiflorus,extracted,Narcissus,viridiflorus,MN070180.1,,833
Pancratium,maritimum,extracted,Pancratium,maritimum,HM850507.1,"BM 2008/364",831
Stenbergia,lutea,literature,Sternbergia,lutea,HE967010.1,"MIB:ZPL:04510",866
Agave,cupreata,genus,Agave,shawii,MF963753.1,"RSABG352",919
Agave,tequilana,genus,Agave,stricta,AM884160.1,"Garcia-Mendoza 4863 (MEXU)",913
Brimeura,duvigneaudii,genus,Brimeura,amethystina,JX090326.1,"Chase 1777",844
Hyacinthella,nervosa,extracted,Hyacinthella,nervosa,JX090369.1,"Chase 21826",836
Hyacinthus,orientalis,extracted,Hyacinthus,orientalis,JX090372.1,"Crawley, M.J. MJC11",848
Muscari,atlanticum,genus,Muscari,tuzgoluense,MH152617.1,,1238
Muscari,baeticum,genus,Muscari,sivrihisardaghlarense,MH152614.1,,1238
Muscari,cazorlanum,genus,Muscari,serpentinicum,MH152631.1,,1238
Muscari,neglectum,extracted,Muscari,neglectum,JX090381.1,"Chase 21836",831
Muscari,olivetorum,genus,Muscari,parviflorum,MH152630.1,,1238
Muscari,pinardi,literature,Leopoldia,comosa,KU127481.1,"L. Harder 000419-1, ALTA",783
Ophiopogon,amblyohyllus,literature,Ophiopogon,amblyphyllus,KF671559.1,"nie2097",850
Ophiopogon,bockianus,genus,Ophiopogon,mairei,KJ745642.1,"Z.-L.Nie 2372 (KUN)",869
Ophiopogon,bodinieri,extracted,Ophiopogon,bodinieri,KF671531.1,"B639",850
Ophiopogon,chingii,extracted,Ophiopogon,chingii,KF671535.1,"nie2325",850
Ophiopogon,clavatus,extracted,Ophiopogon,clavatus,KF671563.1,"HGWZ462",850
Ophiopogon,dracaenoids,literature,Ophiopogon,dracaenoides,KF671557.1,"nie3587",850
Ophiopogon,grandis,extracted,Ophiopogon,grandis,KF671532.1,"HGWZ469",850
Ophiopogon,heterandrus,extracted,Ophiopogon,heterandrus,KF671562.1,"HGWZ505",850
Ophiopogon,japonicus,extracted,Ophiopogon,japonicus,KF671541.1,"GY44",850
Ophiopogon,lancangensis,extracted,Ophiopogon,lancangensis,KF671536.1,"nie2059",850
Ophiopogon,latifolius,extracted,Ophiopogon,latifolius,KF671556.1,"HGWZ518",840
Ophiopogon,longibracteatus,extracted,Ophiopogon,longibracteatus,KF671540.1,"GY36",850
Ophiopogon,marmortus,literature,Ophiopogon,marmoratus,KF671549.1,"HGWZ625",850
Ophiopogon,peliosanthoides,extracted,Ophiopogon,peliosanthoides,KF671565.1,"nie3586",849
Ophiopogon,pingbienensis,extracted,Ophiopogon,pingbienensis,KF671566.1,"nie3927",850
Ophiopogon,platyphyllus,genus,Ophiopogon,tonkinensis,KF671568.1,"nie2345",850
Ophiopogon,reversus,extracted,Ophiopogon,reversus,KF671539.1,"GY41",850
Ophiopogon,revolutus,extracted,Ophiopogon,revolutus,KF671555.1,"HGWZ636",850
Ophiopogon,sylvicola,extracted,Ophiopogon,sylvicola,KF671553.1,"HGWZ00793",850
Ophiopogon,szechuansis,literature,Ophiopogon,szechuanensis,KF671548.1,"HGWZ593",850
Ophiopogon,tienensis,extracted,Ophiopogon,tienensis,KF671564.1,"nie3737",829
Ophiopogon,yunnanensis,genus,Ophiopogon,tsaii,KF671567.1,"GY08",813
Ophiopogon,zingiberaceus,extracted,Ophiopogon,zingiberaceus,KF671552.1,"nie3549",844
Ornithogalum,billardieri,genus,Ornithogalum,chionophilum,AM992670.2,"K:Mark Wayne Chase at Jodrell lab.:MWC20637",860
Ornithogalum,libanoticum,genus,Ornithogalum,broteroi,AM992663.2,"K:Mark Wayne Chase at Jodrell lab.:MWC20987",860
Peliosanthes,macrostegia,extracted,Peliosanthes,macrostegia,KJ745647.1,"Z.-L.Nie 3242 (KUN)",869
Peliosanthes,ophiopogoniodes,literature,Peliosanthes,ophiopogonoides,KF671583.1,"HGWZ536",827
Peliosanthes,teta,extracted,Peliosanthes,teta,KF671578.1,"HGWZ341",849
Peliosanthes,yunnanensis,extracted,Peliosanthes,yunnanensis,KF671584.1,"GY04",849
Polygonatum,odoratum,extracted,Polygonatum,odoratum,KJ745721.1,"Z.-L.Nie 702 (KUN)",1245
Puschkinia,scilloides,extracted,Puschkinia,scilloides,JX090397.1,"Chase 21560",837
Ruscus,hypoglossum,extracted,Ruscus,hypoglossum,KX783775.1,"Hosam00213",800
Scilla,cilicica,genus,Scilla,peruviana,AJ581423.1,"Chase 1619 K",820
Urginea,indica,literature,Drimia,indica,HM768795.1,,899
Bellevalia,brevipedicellata,genus,Bellevalia,romana,JX090321.1,"Chase 1732",846
Bellevalia,ciliata,genus,Bellevalia,fominii,JX090318.1,"Chase 1727",846
Bellevalia,dubia,extracted,Bellevalia,dubia,JX090317.1,"Chase 1679",826
Asphodeline,damascena,genus,Asphodeline,lutea,JQ669533.1,"MWC300",783
Asphodelus,ramosus,genus,Asphodelus,tenuifolius,MK696199.1,"QRI 571",873
Prospero,autumnale,extracted,Prospero,autumnale,MK925624.1,"NMW855",892
Crocus,cambessedesii,extracted,Crocus,cambessedesii,EU496978.1,"C1627",830
Gladiolus,imbricatus,extracted,Gladiolus,imbricatus,HQ394321.1,"3E8LV07",849
Iris,mesopotamica,literature,Iris,germanica,KP089614.1,"z085",787
Iris,pseudacorus,extracted,Iris,pseudacorus,JF972934.1,"D.K. Kim 09-055",1215
Moraea,sisyrinchium,genus,Moraea,pallida,GQ248160.1,"Goldblatt & Porter 12041 (NBG)",820
Romulea,asumptionis,literature,Romulea,columnae,HM850494.1,,831
Romulea,bulbocodium,genus,Romulea,ramiflora,EU496930.1,"C1527",830
Romulea,nivalis,genus,Romulea,tempskyana,EU496929.1,"C1512",830
Romulea,phoenicia,genus,Romulea,obscura,KP149525.1,"BS0281",826
Sisyrinchium,micranthum,extracted,Sisyrinchium,micranthum,KF577270.1,,1015
Sisyrinchium,rosulatum,extracted,Sisyrinchium,rosulatum,MH551957.1,"FLAS:Majure 5026",762
Anacamptis,coriophora,genus,Anacamptis,morio,MK926391.1,"NMW7198",803
Anacamptis,papilionacea,genus,Anacamptis,pyramidalis,JN895643.1,,814
Apostasia,,extracted,Apostasia,wallichii,HQ180854.1,"Zich 634; CNS130807",1200
Brassavola,tuberculata,genus,Brassavola,nodosa,EU214312.1,"DB 118",821
Cephalanthera,longifolia,extracted,Cephalanthera,longifolia,MK435659.1,"WH-2012-0169",810
Cyrtopodium,intermedium,genus,Cyrtopodium,punctatum,KT750200.1,"Z.J.Liu 7777",870
Dactylorhiza,maculata,extracted,Dactylorhiza,maculata,EU214326.1,"Bateman 14066 K (in spirit)",804
Dactylorhiza,romana,extracted,Dactylorhiza,romana,AM883575.1,,845
Neuwiedia,asingapureana,literature,Neuwiedia,zollingeri,KY966907.1,"KFBG35",1141
Ophrys,apifera,extracted,Ophrys,apifera,HE858505.1,,865
Ophrys,attica,genus,Ophrys,sphegodes,GQ248169.1,"Chase O- 701 (K)",789
Ophrys,bertolonii,genus,Ophrys,insectifera,HE858506.1,,865
Orchis,anatolica,genus,Orchis,mascula,MK925600.1,"RBGE282",811
Platanthera,bifolia,extracted,Platanthera,bifolia,MK926177.1,"RBGE300",751
Prescottia,phleoides,genus,Prescottia,sp.,EU395453.1,"Ecuagenera",1247
Serapias,vomeracea,genus,Serapias,cordigera,HM850510.1,,813
Achillea,crithmifolia,genus,Achillea,sp.,MG946947.1,"Qarshi QHRC-841 market",1181
Achillea,maritima,extracted,Achillea,maritima,MK925969.1,"NMW7221",916
Achillea,millefolium,extracted,Achillea,millefolium,MG946948.1,"Qarshi QHRC-98",1166
Aetheorhiza,montana,genus,Sonchus,bulbosus,AJ633280.1,"GAT-bg61",970
Aethionema,cordifolium,genus,Aethionema,thomasianum,MF543466.1,"AETHCO01-161014",797
Ambrosia,artemisiifolia,extracted,Ambrosia,artemisiifolia,HQ593164.1,"AP337",875
Anthemis,tinctoria,literature,Cota,tinctoria,KJ204440.1,"G00199143",845
Artemisia,abrotanum,extracted,Artemisia,abrotanum,MN167188.1,"200505073",840
Artemisia,absinthium,extracted,Artemisia,absinthium,MG946953.1,"Qarshi QHRC-903 market",1224
Artemisia,alba,genus,Artemisia,norvegica,MF963479.1,"UC1861860",904
Artemisia,camphorata,genus,Artemisia,sieversiana,JQ173391.1,"PS0616MT01",843
Artemisia,columnae,genus,Artemisia,laciniata,MG224824.1,"BAB-7011",787
Artemisia,dracunculus,extracted,Artemisia,dracunculus,MN167189.1,"200505074",840
Aster,amellus,extracted,Aster,amellus,KP175128.1,"HFLA",994
Bellis,sylvestris,extracted,Bellis,sylvestris,KP175132.1,"HFLA-3675",1079
Bellium,artrutxenis,genus,Bellium,crassifolium,KP175084.1,"HLFA-3683",1050
Carduus,ibicensis,genus,Carduus,tenuiflorus,KC969473.1,"DAV:Daniel S. Park 285",981
Centaurea,crocodylium,genus,Centaurea,brugueriana,AY013497.1,,985
Centaurea,deusta,literature,Centaurea,alba,AY013495.1,,985
Centaurea,dubia,literature,Centaurea,nigrescens,KT250103.1,"HMR2621",820
Centaurea,jacea,extracted,Centaurea,jacea,KC969486.1,"DAV:19012",981
Centaurea,micranthos,literature,Centaurea,stoebe,KC969492.1,"DAV:Daniel S. Park 306",981
Centaurea,montana,extracted,Centaurea,montana,KC969487.1,"DAV:Daniel S. Park I77",978
Centaurea,phrygia,extracted,Centaurea,phrygia,KT249958.1,"GLM74448",820
Centaurea,ragusina,extracted,Centaurea,ragusina,KC969490.1,"DAV:Daniel S. Park I88",981
Centaurea,solstitialis,extracted,Centaurea,solstitialis,KC969491.1,"DAV:Daniel S. Park 72",981
Chrysanthemum,chanetii,genus,Chrysanthemum,x,KX783651.1,"Hosam00295",795
Chrysanthemum,frutescens,literature,Argyranthemum,frutescens,HM850625.1,"BM 2008/671",819
Chrysanthemum,lavandulifolium,extracted,Chrysanthemum,lavandulifolium,HM989791.1,"PS0704MT01",843
Chrysanthemum,perennis,literature,Bellis,perennis,KJ204445.1,"G00199160",829
Chrysanthemum,zawadskii,extracted,Chrysanthemum,zawadskii,MK435696.1,"Huangxw1815",804
Crepis,triasii,genus,Crepis,vesicaria,AJ633154.1,"GAT-bg284",970
Dahlia,apiculata,genus,Dahlia,coccinea,MF770227.1,"MZU/BT/141",930
Doronicum,orientale,genus,Doronicum,altaicum,MK435704.1,"TianXH434",799
Echinops,bannaticus,genus,Echinops,persicus,AY785101.1,"Medicinal Herbarium Garden University Washington",985
Echinops,graecus,genus,Echinops,niveus,AY785100.1,"University Zagrabiensis Botanical Garden",985
Echinops,ritro,extracted,Echinops,ritro,MF158710.1,,776
Echinops,sphaerocephalus,extracted,Echinops,sphaerocephalus,KC969526.1,"DAV:Daniel S. Park 189",981
Echinops,spinosissimus,extracted,Echinops,spinosissimus,AY013539.1,,952
Femeniasia,balearica,extracted,Femeniasia,balearica,AY013509.1,,985
Filago,petro-ianii,genus,Filago,lutescens,MK926357.1,"NMW7248",946
Helichrysum,crassifolium,genus,Helichrysum,parvifolium,JQ956952.1,"Francis 18",837
Helichrysum,pallasii,genus,Helichrysum,selago,JQ956966.1,"Garnock-Jones s.n. (CANB333492)",836
Helichrysum,sanguineum,genus,Helichrysum,felinum,KP110078.1,"EFG.703.11",786
Helictotrichon,crassifolium,genus,Helictochloa,bromoides,JX438087.1,"UZ 133.07",1245
Hieracium,acidodontum,genus,Hieracium,peleterianum,AJ633186.1,"GAT-bg249",979
Hieracium,acidolepis,genus,Hieracium,macranthum,AJ633185.1,"GAT-bg240",979
Hieracium,acidotum,genus,Hieracium,hoppeanum,AJ633184.1,"GAT-bg239",979
Hieracium,acroleucum,genus,Hieracium,caucasicum,AJ633183.1,"GAT-bg189",979
Hieracium,acudentulum,genus,Hieracium,procerum,AJ633182.1,"GAT-bg164",979
Hieracium,adunans,genus,Hieracium,verruculatum,AJ633179.1,"GAT-bg170",979
Hieracium,ageneium,genus,Hieracium,sparsum,AJ633203.1,"GAT-bg267",970
Hieracium,albiduliforme,genus,Hieracium,prenanthoides,AJ633202.1,"GAT-bg262",970
Hieracium,albidulum,genus,Hieracium,alpinum,AJ633201.1,"GAT-bg197",970
Hieracium,albinotum,genus,Hieracium,transsilvanicum,AJ633199.1,"GAT-bg193",970
Hieracium,albovittatum,genus,Hieracium,intybaceum,AJ633198.1,"GAT-bg192",970
Hieracium,almquistianum,genus,Hieracium,eriophorum,AJ633196.1,"GAT-bg49",970
Hieracium,alpinum,genus,Hieracium,frigidum,AJ633194.1,"GAT-bg264",970
Hieracium,amblyodontum,genus,Hieracium,patagonicum,AJ633193.1,"GAT-bg263",970
Hieracium,amplexicaule,genus,Hieracium,stachyoideum,AJ633192.1,"GAT-bg244",970
Hieracium,amplificatum,genus,Hieracium,aff.,AJ633191.1,"GAT-bg243",970
Hieracium,anfractum,literature,Hieracium,lachenalii,MG224951.1,"MT00186454",800
Hieracium,austrinum,genus,Hieracium,trichodontum,AJ633190.1,"GAT-bg167",970
Hieracium,baliophyllum,genus,Hieracium,albiflorum,AJ633189.1,"GAT-bg111",970
Hieracium,barbareifolium,genus,Hieracium,antarcticum,AJ633188.1,"GAT-bg109",970
Hieracium,basifolium,genus,Hieracium,sp.,JN895808.1,,893
Hieracium,laevigatum,extracted,Hieracium,laevigatum,KT249993.1,"GLM73739",820
Hieracium,pellucidum,extracted,Hieracium,pellucidum,AM889714.1,,772
Hieracium,pilosella,extracted,Pilosella,officinarum,HE970711.1,"MIB:ZPL:03084",811
Hieracium,umbellatum,extracted,Hieracium,umbellatum,KX526557.1,"CPG12896",1128
Hieracium,virosum,extracted,Hieracium,virosum,MK435711.1,"Liuetal522",798
Jacobaea,vulgaris,extracted,Jacobaea,vulgaris,AY554084.1,"31 Jan 2000, S.J. Wagstaff s.n., CHR 522934",918
Lactuca,perennis,genus,Lactuca,sativa,EU046561.1,"cult. Bot. Gard. Cluj, 7/03, Napoca 681 (GAT)",970
Lactuca,triquetra,genus,Lactuca,serriola,HQ593336.1,"AP420",875
Launaea,cervicornis,extracted,Launaea,cervicornis,MG947026.1,"K:Chase 16953",804
Legousia,falcata,genus,Legousia,hybrida,MK925641.1,"NMW7292",898
Leontopodium,artemisiifolium,genus,Leontopodium,microphyllum,FJ640040.1,"Hoerandl, 9549 WU",832
Leontopodium,himalayanum,genus,Leontopodium,andersonii,FJ640038.1,"Iwatsuki & al., s.n. BM",829
Leontopodium,sinense,extracted,Leontopodium,sinense,FJ640035.1,"Dickore, 14534 WU",829
Leucanthemum,paludosum,genus,Leucanthemum,vulgare,HQ593344.1,"AP064",875
Matricaria,chamomilla,extracted,Matricaria,chamomilla,KX783708.1,"Hosam00394",799
Onopordum,carduiforme,genus,Onopordum,tauricum,AY785110.1,"Berlin Dahlem Botanical Garden",985
Parasenecio,auriculata,genus,Parasenecio,palmatisectus,KX526578.1,"BYC Chen YS &Wang ZH 9656",1125
Pilosella,alpicola,genus,Pilosella,flagellaris,MK926216.1,"NMW7271",953
Pilosella,aurantiaca,extracted,Pilosella,aurantiaca,KT250036.1,"GLM74394",820
Pilosella,bauhini,genus,Pilosella,piloselloides,KT250038.1,"GLM69022",820
Pilosella,serbica,genus,Pilosella,caespitosa,KP210410.1,"TJD-147",814
Reichardia,glauca,genus,Reichardia,intermedia,AJ633281.1,"GAT-bg278",970
Scorzonera,austriaca,extracted,Scorzonera,austriaca,KT250115.1,"H.V. 2165",820
Scorzonera,mollis,extracted,Scorzonera,mollis,AJ633275.1,"GAT-bg260",976
Senecio,inaequidens,extracted,Senecio,inaequidens,KT250039.1,"GLM75238",820
Serratula,pusilla,genus,Serratula,coronata,AY785114.1,"Vienna Botanical Garden",984
Solidago,altissima,genus,Solidago,canadensis,MF159464.1,"Li ZY, Xiang XG, Xu SZ 201509235",1067
Solidago,arenicola,genus,Solidago,rugosa,EU749422.1,"OAC:JAG383",812
Solidago,gigantea,extracted,Solidago,gigantea,HQ593451.1,"AP283",781
Solidago,simplex,extracted,Solidago,simplex,MG225185.1,"MT00179583",794
Solidago,virgaurea,extracted,Solidago,virgaurea,MG772543.1,"ipbb_9.28.1.1",804
Tragopogon,dubius,extracted,Tragopogon,dubius,AJ633258.1,"GAT-bg236",970
Tragopogon,longirostris,genus,Tragopogon,porrifolius,AJ633261.1,"GAT-bg219",970
Tripleurospermum,callosum,genus,Tripleurospermum,maritimum,JN966723.1,"09PROBE-05384",787
Tussilago,farfara,extracted,Tussilago,farfara,MN167206.1,"S12",834
Vernonanthura,amplexicaulis,genus,Vernonanthura,patens,MH024638.1,"5993",864
Vernonanthura,chaquensis,genus,Vernonanthura,divaricata,MG833459.1,"ESA:119320",800
Vernonia,echioides,genus,Vernonia,sp.,KF521896.1,"VZ_001",883
Vernonia,incana,genus,Vernonia,cumingiana,HG004925.1,"HITBC:Liana Mengsong 145_9_36",816
Veronica,acidifolia,genus,Veronica,arvensis,KU673609.1,"Var_5641",1198
Veronica,anagallis-aquatica,extracted,Veronica,anagallis-aquatica,MK520798.1,"v0172825WIS",770
Veronica,anagalloides,genus,Veronica,polita,KU673612.1,"Vpo_1802",1206
Veronica,catenata,extracted,Veronica,catenata,JN894415.1,,821
Veronica,chamaedrys,extracted,Veronica,chamaedrys,FJ395446.1,"BM000954805",887
Veronica,hederifolia,extracted,Veronica,hederifolia,KP402275.1,"SERC-1076416065",751
Veronica,officinalis,extracted,Veronica,officinalis,HQ593489.1,"AP121",782
Veronica,peregrina,extracted,Veronica,peregrina,HM851038.1,"BM 2008/285",819
Veronica,persica,extracted,Veronica,persica,KU673586.1,"Vpe_1102",1203
Campanula,peregrina,genus,Campanula,cochleariifolia,JN571946.1,"RBGE2037",1150
Galinsoga,parviflora,extracted,Galinsoga,parviflora,MF159455.1,"Li ZY, Xiang XG, Xu SZ 201509216",1021
Alkanna,leiocarpa,genus,Alkanna,tinctoria,KF287776.1,"DNA bank network B 10 0326075",1083
Anchusa,officinalis,extracted,Anchusa,officinalis,MN167210.1,"S17",837
Borago,morisiana,genus,Borago,officinalis,AY491648.1,"Chase 2746 (K)",1021
Echium,angustifolium,genus,Echium,plantagineum,MK926351.1,"NMW7314",830
Myosotis,lamottiana,genus,Myosotis,afropalustris,AY092857.1,"K. Balkwill & M.J. Balkwill 5260",883
Myosotis,sicula,genus,Myosotis,laxa,KJ840949.1,"TJD-199",793
Onosma,arenaria,genus,Onosma,alborosea,KF287837.1,"UBC Bot. Gard. 010628-6156-1974",953
Onosma,sericea,genus,Onosma,sinicum,MK435765.1,"LiJ366",785
Alyssum,austrodalmaticum,genus,Alyssum,montanum,MF543473.1,"ALMOCO04-040713",787
Alyssum,moellendorfanum,genus,Alyssum,simplex,JF926641.1,,1050
Alyssum,montenegrinum,genus,Meniocus,linifolius,JF926642.1,,1041
Arabidopsis,arenicola,extracted,Arabidopsis,arenicola,KC474046.1,"Brysting_01-181_CAN",762
Arabidopsis,kamchatica,literature,Arabidopsis,lyrata,MK509434.1,"v0208301WIS",759
Arabidopsis,petraea,extracted,Arabidopsis,petraea,JN966099.1,"09PROBE-05088",765
Arabis,alpina,extracted,Arabis,alpina,MN276187.1,"UQU AP24B",775
Biscutella,ebusitana,genus,Biscutella,didyma,GQ424575.1,"J.J. Wieringa 4745 (WAG)",1041
Capsella,bursa-pastoris,extracted,Capsella,bursa-pastoris,KX676983.1,"ERM687",796
Cardamine,amara,genus,Cardamine,diphylla,HQ593200.1,"AP013",763
Cardamine,amariformis,genus,Cardamine,microzyga,JF926662.1,,1041
Cardamine,glauca,genus,Cardamine,flexuosa,JN894558.1,,1004
Cardamine,schinziana,genus,Cardamine,hirsuta,HQ619803.1,,822
Malcolmia,crenulata,genus,Malcolmia,africana,MK435777.1,"TanDY0665",778
Matthiola,crassifolia,genus,Matthiola,incana,HM850753.1,"BM 2008/416",798
Ricotia,lunaria,extracted,Ricotia,lunaria,GQ424600.1,"Danin et al. 45. 004 (B)",1041
Thlaspi,goesingense,genus,Thlaspi,arvense,GQ424602.1,"J.J. Wieringa 4776 (WAG)",1041
Reseda,lutea,extracted,Reseda,lutea,JN894987.1,,764
Alternanthera,philoxeroides,extracted,Alternanthera,philoxeroides,MF159528.1,"Li ZY, Xu SZ X12",1118
Atriplex,canescens,extracted,Atriplex,canescens,JX517608.1,"BS0240",765
Atriplex,halimus,extracted,Atriplex,halimus,KX789378.1,"M43",803
Chenopodium,acerifolium,genus,Chenopodium,album,KX133100.1,,893
Chenopodium,acuminatum,extracted,Chenopodium,acuminatum,MH767790.1,"TuTY1507",785
Chenopodium,ambrosioides,literature,Dysphania,ambrosioides,MH660160.1,"Q774",817
Chenopodium,atrovirens,extracted,Chenopodium,atrovirens,KX677746.1,"HERB0122",794
Chenopodium,berlandieri,extracted,Chenopodium,berlandieri,KX676789.1,"HERB0123",762
Chenopodium,bonus-henricus,extracted,Blitum,bonus-henricus,AF204864.1,,1131
Chenopodium,botrys,literature,Dysphania,botrys,KX677552.1,"HERB0142",815
Chenopodium,californicum,literature,Blitum,californicum,MF963545.1,"UC1971106(HV)",898
Chenopodium,capitatum,extracted,Blitum,capitatum,JN966241.1,"09PROBE-05851",776
Chenopodium,desiccatum,extracted,Chenopodium,desiccatum,KX676800.1,"HERB0126",802
Chenopodium,ficifolium,extracted,Chenopodium,ficifolium,MK044325.1,"HCCN-PJ012640-WB469",825
Chenopodium,fremontii,extracted,Chenopodium,fremontii,KX677609.1,"HERB0128",810
Chenopodium,glaucum,literature,Oxybasis,glauca,MF159501.1,"Li ZY, Fu LZ, Xu SZ, Fu JG 13506",1023
Chenopodium,hybridum,literature,Chenopodiastrum,hybridum,MK926222.1,"NMW7387",762
Chenopodium,leptophyllum,extracted,Chenopodium,leptophyllum,KX677104.1,"HERB0130",814
Chenopodium,murale,extracted,Chenopodiastrum,murale,HM850765.1,"BM 2008/299",813
Chenopodium,polyspermum,extracted,Lipandra,polysperma,JN895578.1,,755
Chenopodium,pratericola,extracted,Chenopodium,pratericola,KX676531.1,"HERB0134",799
Chenopodium,pumilio,literature,Dysphania,pumilio,KX677143.1,"HERB0143",789
Chenopodium,quinoa,extracted,Chenopodium,quinoa,KF318992.1,"EC507748",799
Chenopodium,rubrum,extracted,Oxybasis,rubra,JN895576.1,,829
Chenopodium,schraderianum,literature,Dysphania,schraderiana,MH660147.1,"Q758",798
Chenopodium,strictum,extracted,Chenopodium,strictum,KX677328.1,"HERB0137",814
Chenopodium,urbicum,extracted,Oxybasis,urbica,JN895580.1,,751
Chenopodium,vulvaria,extracted,Chenopodium,vulvaria,JN895424.1,,779
Consolea,corallicola,extracted,Consolea,corallicola,JF786713.1,"DBG:0397",881
Consolea,falcata,extracted,Consolea,falcata,JF786715.1,"DBG:0394",895
Consolea,macracantha,genus,Consolea,spinosissima,JF786721.1,"DBG:0389",907
